,mean,sd,q5,q95
Stomping Tantrum,0.13035519363501152,0.04620592153500967,0.05764454817799651,0.20608194600638985
Dragon Dance,0.1291295916902442,0.08658394284184528,-0.019152563477338163,0.2692920088352822
Wide Guard,0.1280725331605005,0.05869646227047482,0.026189116822861784,0.22296715261129144
Low Kick,0.127833655827582,0.053357449603052796,0.04030641167640532,0.21561997536656158
Will-O-Wisp,0.12690458967406545,0.0529357063973226,0.03864059686259346,0.21279607716780743
Foul Play,0.1268542961370693,0.07575203887511862,-0.0066695098994500575,0.25506641783843764
Bite,0.1251633106993458,0.18879223672986112,-0.18083570135960833,0.4251645381104212
Coil,0.12502070787221853,0.10649915156118683,-0.047170265828915536,0.29914258639228675
Leech Life,0.12214665204326895,0.14802987134074852,-0.12385522691654952,0.36502667577499043
Power Gem,0.12184386196362791,0.07763128040274951,-0.007040966920088402,0.24528812031921937
Hard Press,0.1181631402501554,0.19984556938905823,-0.21869870440397438,0.4528930464493532
Flare Blitz,0.11205630034143656,0.04179218191532918,0.042411142917864963,0.18116134539332532
Bitter Blade,0.11105878325753647,0.10310735790621335,-0.053606033684205405,0.27906426883476987
Body Slam,0.11088416357697377,0.16408838197106815,-0.16057311118906717,0.38314414145924974
Knock Off,0.11057735910669347,0.053422168834136446,0.018061554274229428,0.19740564031813024
